time,journey_id,question,answer
2019-02-14 03:39:55.083276,67355,question.overall_rating,5
2019-02-09 17:23:48.791852,67235,question.overall_rating,4
2019-02-11 12:43:29.356118,66980,question.overall_rating,5
2019-02-09 17:24:00.305758,67235,question.staff_rating,4
2019-02-14 22:00:40.086199,67002,question.overall_rating,2
2019-02-14 03:40:16.205186,67355,question.staff_rating,5
2019-02-14 14:24:28.927055,67680,question.overall_rating,4
2019-02-14 15:11:37.762770,67210,question.overall_rating,5
2019-02-14 15:12:10.951071,67210,question.staff_rating,5
2019-02-14 22:00:44.638333,67002,question.staff_rating,3
2019-02-14 14:24:44.850257,67680,question.staff_rating,5
2019-02-14 15:13:10.081909,67210,question.open_feedback,text data
2019-02-16 22:30:19.812950,68239,question.staff_rating,4
2019-02-16 22:30:11.363623,68239,question.overall_rating,3
2019-02-17 03:42:22.764565,68151,question.overall_rating,3
2019-02-17 03:42:34.965523,68151,question.staff_rating,2
2019-02-17 06:58:44.025658,68064,question.staff_rating,4
2019-02-17 06:58:35.915181,68064,question.overall_rating,4
2019-02-17 12:22:13.339095,67501,question.staff_rating,5
2019-02-17 06:47:39.224931,68164,question.overall_rating,5
2019-02-17 06:47:55.509965,68164,question.staff_rating,5
2019-02-17 06:48:15.080944,68164,question.open_feedback,text data
2019-02-17 12:21:55.597088,67501,question.overall_rating,1
2019-02-17 18:04:57.520538,67548,question.overall_rating,4
2019-02-17 12:25:52.865707,67501,question.open_feedback,text data
2019-02-17 16:06:40.572787,67186,question.staff_rating,5
2019-02-17 16:06:30.240628,67186,question.overall_rating,5
2019-02-17 18:09:38.063129,67548,question.open_feedback,text data
2019-02-17 18:05:43.650286,67548,question.staff_rating,2
2019-02-17 21:18:27.097418,67485,question.overall_rating,4
2019-02-17 21:19:32.233123,67485,question.open_feedback,text data
2019-02-18 13:27:01.923343,67230,question.staff_rating,5
2019-02-18 05:11:57.915207,68066,question.overall_rating,4
2019-02-17 21:18:41.670607,67485,question.staff_rating,5
2019-02-18 13:26:54.417331,67230,question.overall_rating,5
2019-02-18 13:47:00.165477,68462,question.overall_rating,3
2019-02-18 13:47:15.359701,68462,question.staff_rating,3
2019-02-18 21:27:26.713322,67678,question.overall_rating,4
2019-02-18 13:48:30.639405,68462,question.open_feedback,text data
2019-02-18 18:06:37.302174,67189,question.overall_rating,5
2019-02-18 18:06:43.714219,67189,question.staff_rating,5
2019-02-18 21:27:36.474150,67678,question.staff_rating,4
2019-02-25 21:10:40.274092,68899,question.overall_rating,5
2019-02-19 01:13:55.947195,68152,question.overall_rating,4
2019-02-19 01:14:40.408762,68152,question.staff_rating,5
2019-02-19 04:11:02.526142,68065,question.overall_rating,5
2019-02-19 04:11:08.247243,68065,question.staff_rating,5
2019-02-19 13:35:42.016928,67631,question.overall_rating,4
2019-02-20 14:19:59.393809,68165,question.overall_rating,2
2019-02-20 14:25:42.192645,68165,question.open_feedback,text data
2019-02-20 14:20:42.346910,68165,question.staff_rating,2
2019-02-21 08:00:47.747958,67045,question.staff_rating,1
2019-02-21 20:50:19.296671,67055,question.overall_rating,4
2019-02-21 20:50:28.957106,67055,question.staff_rating,4
2019-02-22 05:00:31.548528,69022,question.overall_rating,3
2019-02-22 03:09:51.499272,69000,question.staff_rating,5
2019-02-22 06:25:33.801186,68861,question.overall_rating,4
2019-02-22 05:00:48.416930,69022,question.staff_rating,3
2019-02-22 13:24:57.447626,67198,question.overall_rating,4
2019-02-23 07:33:58.700093,67815,question.staff_rating,5
2019-02-23 07:56:22.113173,68923,question.overall_rating,4
2019-02-23 09:46:55.628550,69489,question.staff_rating,4
2019-02-23 18:42:36.719836,69860,question.overall_rating,2
2019-02-23 18:46:14.313172,69860,question.open_feedback,text data
2019-02-24 09:11:11.173076,68335,question.overall_rating,2
2019-02-24 04:20:26.419284,68688,question.staff_rating,1
2019-02-24 10:46:43.838063,69804,question.overall_rating,1
2019-02-24 09:11:28.804397,68335,question.staff_rating,1
2019-02-24 13:16:20.928046,68619,question.overall_rating,4
2019-02-24 15:48:21.730626,69877,question.overall_rating,2
2019-02-24 15:48:30.928980,69877,question.staff_rating,2
2019-02-25 01:46:43.744620,67299,question.staff_rating,5
2019-02-24 15:49:26.057910,69877,question.open_feedback,text data
2019-02-25 05:16:02.891073,69218,question.staff_rating,4
